Province,mean,max,min
Alberta,59.21715331423372,137.1286762814429,30.917268057858674
Saskatchewan,23.21823118258946,26.62942985704597,21.19661668367769
New Brunswick,13.050290217498263,17.315600774058755,7.842020974004189
Nova Scotia,11.689620774897982,17.1427695469194,5.542218894185974
Newfoundland and Labrador,11.521195333529025,21.28618509487288,5.928508521615397
Yukon,6.166389220919402,21.675424957283074,0.31688025064730535
British Columbia,4.95455088774915,10.699473629841295,2.8157411768852487
Ontario,3.738695826388806,6.91577766600983,1.9385804264658368
Manitoba,3.7137215445597147,8.121599133909584,1.446169201698637
Quebec,3.4942546665748275,5.698328452123032,2.3934504934859935
